fdc_id,name,data_type,protein,fat,carbs,kcal,alcohol,caffeine,fiber,sodium,sugar_added,cholesterol,fat_trans,fat_sat,fat_mono,fat_poly,sugar,density
172772,"Pancakes, plain, dry mix, complete (includes buttermilk)",sr_legacy_food,9.77,3.1,73.65,368.0,,,2.9,1082.0,,2.0,0.383,0.822,1.271,0.928,16.03,0.607755824697898
172773,"Pancakes, blueberry, prepared from recipe",sr_legacy_food,6.1,9.2,29.0,222.0,,,,412.0,,56.0,,1.986,2.316,4.162,,
172774,"Pancakes, buckwheat, dry mix, incomplete",sr_legacy_food,10.9,2.7,71.3,340.0,0.0,0.0,8.5,684.0,,0.0,,0.439,0.581,1.0,7.21,0.5156638462031058
172775,"Pancakes, special dietary, dry mix",sr_legacy_food,8.9,1.4,73.9,349.0,,,,456.0,,0.0,,0.202,0.276,0.611,,
172776,"Pancakes, whole-wheat, dry mix, incomplete",sr_legacy_food,12.8,1.5,71.0,344.0,,,,1419.0,,0.0,,0.244,0.279,0.605,,0.5917453972822526
172777,"Pie, banana cream, prepared from recipe",sr_legacy_food,4.4,13.6,32.9,269.0,0.0,0.0,0.7,240.0,,51.0,,3.758,5.719,3.292,12.06,
172778,"Pie, blueberry, commercially prepared",sr_legacy_food,1.8,10.0,34.9,232.0,0.0,0.0,1.0,287.0,,0.0,,1.679,4.244,3.524,9.89,
172779,"Pie, blueberry, prepared from recipe",sr_legacy_food,2.7,11.9,33.5,245.0,,,,185.0,,0.0,,2.911,5.121,3.08,,
172780,"Pie, cherry, commercially prepared",sr_legacy_food,2.0,11.0,39.8,260.0,0.0,0.0,0.8,246.0,,0.0,,2.562,5.837,2.055,14.29,
172781,"Pie, cherry, prepared from recipe",sr_legacy_food,2.8,12.2,38.5,270.0,,,,191.0,,0.0,,2.985,5.314,3.247,,
172782,"Pie, coconut custard, commercially prepared",sr_legacy_food,5.9,13.2,30.2,260.0,,,1.8,335.0,,35.0,,5.854,5.495,1.17,,
172783,"Pie, egg custard, commercially prepared",sr_legacy_food,5.5,11.6,20.8,210.0,0.0,0.0,1.6,275.0,,33.0,,2.349,4.797,3.723,11.58,
172784,"Pie, fried pies, fruit",sr_legacy_food,3.0,16.1,42.6,316.0,0.0,0.0,2.6,333.0,,0.0,,2.457,7.449,5.376,21.4,
172785,"Pie, lemon meringue, commercially prepared",sr_legacy_food,1.5,8.7,47.2,268.0,0.0,0.0,1.2,172.0,,45.0,,1.766,2.685,3.648,23.86,
172786,"Pie, pecan, prepared from recipe",sr_legacy_food,4.9,22.2,52.2,412.0,,,,262.0,,87.0,,3.989,11.181,5.71,,
172787,"Pie, pumpkin, commercially prepared",sr_legacy_food,3.9,9.75,34.83,243.0,0.0,0.0,1.8,239.0,,26.0,,1.988,4.6,1.77,18.88,
172788,"Pie, pumpkin, prepared from recipe",sr_legacy_food,4.5,9.3,26.4,204.0,,,,225.0,,42.0,,3.171,3.697,1.81,,
172789,"Pie, vanilla cream, prepared from recipe",sr_legacy_food,4.8,14.4,32.6,278.0,0.0,0.0,0.6,260.0,,62.0,,4.03,6.043,3.438,12.68,
172790,"Puff pastry, frozen, ready-to-bake",sr_legacy_food,7.3,38.1,45.1,551.0,0.0,0.0,1.5,249.0,,0.0,,9.643,21.597,4.894,0.74,
172791,Phyllo dough,sr_legacy_food,7.1,6.0,52.6,299.0,0.0,0.0,1.9,483.0,,0.0,,1.47,3.149,0.923,0.18,
172792,"Popovers, dry mix, enriched",sr_legacy_food,10.4,4.3,71.0,371.0,,,,906.0,,0.0,,0.983,1.984,0.823,,
172793,"Rolls, dinner, plain, commercially prepared (includes brown-and-serve)",sr_legacy_food,10.86,6.47,52.04,310.0,0.0,0.0,2.0,467.0,,4.0,0.0,1.375,1.881,2.509,5.55,
172794,"Rolls, dinner, whole-wheat",sr_legacy_food,8.7,4.7,51.1,266.0,0.0,0.0,7.5,521.0,,0.0,,0.836,1.199,2.161,8.46,
172795,"Rolls, french",sr_legacy_food,8.6,4.3,50.2,277.0,0.0,0.0,3.2,574.0,,0.0,,0.962,1.961,0.834,0.31,
172796,"Rolls, hamburger or hotdog, plain",sr_legacy_food,9.77,3.91,50.12,279.0,0.0,0.0,1.8,494.0,,0.0,0.027,0.842,0.748,1.78,7.28,
172797,"Rolls, hamburger or hotdog, mixed-grain",sr_legacy_food,9.6,6.0,44.6,263.0,0.0,0.0,3.8,458.0,,0.0,,1.39,2.839,1.153,6.25,
172798,"Sweet rolls, cinnamon, refrigerated dough with frosting",sr_legacy_food,5.0,12.2,51.6,333.0,,,,765.0,,0.0,,3.081,6.839,1.604,,
172799,"Sweet rolls, cinnamon, refrigerated dough with frosting, baked",sr_legacy_food,5.4,13.2,56.1,362.0,,,,832.0,,0.0,,3.348,7.421,1.728,,
172800,"Taco shells, baked",sr_legacy_food,6.41,21.79,63.49,476.0,0.0,0.0,6.7,324.0,,0.0,0.172,7.105,6.935,5.495,1.5,
